file_name,image_id_a,image_id_b,n_batches_for_file,mask_area_a_px,mask_area_b_px,n_anns_a,n_anns_b,iou
20110215083814Th.jpeg,010401-20110215083814Th,010403-20110215083814Th,3,5790,8326,5,4,0.27920253738106027
20110803164914Mh.jpeg,010402-20110803164914Mh,010403-20110803164914Mh,3,28486,9740,14,11,0.27953138075313805
20120703070814Th.jpeg,010402-20120703070814Th,010401-20120703070814Th,3,32867,13316,21,14,0.2832532162605241
20121129063154Uh.jpeg,010403-20121129063154Uh,010402-20121129063154Uh,3,4864,12397,3,7,0.2837275026030046
20131128192214Mh.jpeg,010102-20131128192214Mh,010101-20131128192214Mh,2,30312,10676,9,10,0.2863823243260208
20130110104734Ch.jpeg,020403-20130110104734Ch,020401-20130110104734Ch,2,23470,51140,10,9,0.2872226631241158
20110502063154Uh.jpeg,050101-20110502063154Uh,050102-20110502063154Uh,3,15139,33185,12,9,0.2909809788416328
20120519070814Th.jpeg,010401-20120519070814Th,010403-20120519070814Th,3,42523,24581,16,14,0.2913804052883783
20170804140650Bh.jpeg,010401-20170804140650Bh,010403-20170804140650Bh,3,797,2465,1,2,0.2975338106603023
20111215063134Lh.jpeg,010403-20111215063134Lh,010401-20111215063134Lh,3,11677,7420,5,5,0.29876224156692055
20160204133734Ch.jpeg,010303-20160204133734Ch,010302-20160204133734Ch,2,35229,24255,16,12,0.29889073281509304
20140414195834Ch.jpeg,050101-20140414195834Ch,050102-20140414195834Ch,3,13255,33769,8,10,0.29990324809951624
20171115222230Lh.jpeg,040401-20171115222230Lh,040402-20171115222230Lh,2,5893,5346,5,8,0.3006596458743201
20170103030554Uh.jpeg,010102-20170103030554Uh,010103-20170103030554Uh,3,2505,2173,3,3,0.30088987764182423
20161224024154Uh.jpeg,010101-20161224024154Uh,010103-20161224024154Uh,3,10740,3783,6,5,0.30251121076233184
20111215063134Lh.jpeg,010403-20111215063134Lh,010402-20111215063134Lh,3,11677,27525,5,9,0.30451565671691455
20121129063154Uh.jpeg,010402-20121129063154Uh,010401-20121129063154Uh,3,12397,8241,7,3,0.3053763440860215
20161222133714Th.jpeg,010101-20161222133714Th,010102-20161222133714Th,2,6319,6875,6,3,0.3056902523503216
20190626025430Lh.jpeg,010102-20190626025430Lh,010103-20190626025430Lh,3,1960,621,2,1,0.30683544303797466
20120424072414Th.jpeg,010401-20120424072414Th,010403-20120424072414Th,3,11459,24331,4,6,0.30730174964386164
20110203082634Lh.jpeg,010102-20110203082634Lh,010103-20110203082634Lh,3,4684,2349,1,2,0.30822172619047616
20160215133734Ch.jpeg,010403-20160215133734Ch,010402-20160215133734Ch,3,5263,14799,6,10,0.3113275377475652
20120424072414Th.jpeg,010402-20120424072414Th,010401-20120424072414Th,3,24323,11459,10,4,0.311801151152986
20121218063534Lh.jpeg,010402-20121218063534Lh,010403-20121218063534Lh,3,27192,11792,11,6,0.3131673796611311
20110923165814Mh.jpeg,010403-20110923165814Mh,010402-20110923165814Mh,3,6234,18233,5,6,0.31472326706072007
